RowNumber,ItemSN,ItemName,Unit,NationalAMC
705,56583,Mersilk  Braided Black - Gauge 3.5(0) 75cm on 32mm 1/2 circle cutting tapper Needle,Dozen,765
706,54838,Mersilk  Braided Black - Gauge 4.0(1) 75cm on 30mm 1/2 circle reverse cutting needle,Dozen,1424
707,55461,Mersilk  Braided Black - Gauge 4.0(1) 75cm on 30mm 1/2 Circle Round Bodied Needle,Dozen,1216
708,59049,Mersilk  Braided Black - Gauge 5.0(2) 75cm on 38mm 1/2 Circle Round Body Needle,Dozen,2375
709,55085,Mersilk  Braided Black - Gauge 6.0(3) 75cm on 40mm 1/2 Circle Round Bodied Needle,Dozen,359
710,59050,Mersilk  Braided Black - Gauge 6.0(3) 75cm on 40mm on  1/2 Circle Reverse Cutting Needle,Dozen,363
711,5679,Mesna - 100mg/ml in 4ml  - Injection,Ampoule,747
712,1577,Metformin - 500mg - Tablet,10x10,74462
713,64514,Methotrexate - 1000mg - Powder for injection,Each,74
714,1993,Methotrexate - 50mg - Powder for injection,Each,679
715,55092,Methotrexate - 5mg - Tablet,50,136
716,53706,Methyl predinisolone Sodium Succinate - 500mg - Injection,Vial,50
717,63653,Methyl Prednisolone - 1gm in Vial - Injection,Vial,40
718,54465,Methyl Prednisolone - 40mg/ml in 1ml Ampoule - Injection,Each,2601
719,36,Methyldopa - 250mg - Tablet,100x10,1056
720,12,Metoclopramide - 0.2mg/drop - Drop,15ml,31229
721,13,Metoclopramide - 10mg - Tablet,10x10,8338
722,1864,Metoclopramide - 5mg/5ml - Syrup,60ml,15063
723,2016,Metoclopramide - 5mg/ml in 2ml Ampoule - Injection,5,24057
724,54454,Metoprolol - 25mg - Tablet,14x2,11158
725,808,Metoprolol - 50mg - Tablet,14x2,7659
726,64500,Metoprolol Tartrate - 1mg/ml in 1ml Ampoule - Injection,Each,968
727,183,Metronidazole - 125mg/5ml - Oral Suspension,100ml,140287
728,184,Metronidazole - 250mg - Capsule,100x10,18464
729,55513,Metronidazole - 5mg/ml - Intarvenous Infusion,100ml,226334
730,264,Miconazole - 25mg/ml - Oral Gel,40gm,8149
731,1612,Miconazole Nitrate - 200mg - Tablet (Vaginal),6,1654
732,59499,Micro CC-20 Plus - Calibrator - ,3x2.5ml,17
733,59497,Micro CC-20 Plus - Cleaner - ,1L,169
734,59496,Micro CC-20 Plus - Diluent - ,20L,131
735,63804,Micro CC-20 Plus - Enzymatic Cleaner Concentrate - ,50ml,73
736,59495,Micro CC-20 Plus - Lyse - ,1L,117
737,59498,"Micro CC-20 Plus - Tri-Level (L,N,H) Control - ",3x2.5ml,33
738,64398,Micropipette Tip RNA free with filter 0.1-10ul - ,1000,0
739,60970,Micropipette Tips - 10-200µl - ,1000,525
740,60971,Micropipette Tips - 200-1000µl - ,1000,2858
741,60968,"Microscope Slide - 27x75mm, 1.2mm Thickness - Frosted - ",50,12017
742,55214,Mometasone Furoate - 0.001 - Cream,30gm,4147
743,2056,Morphine Sulphate - 10mg/ml - Injection,10   ,2434
744,3753,Morphine Sulphate - 20mg/5ml - Syrup,125ml,2890
745,751,Morphine Sulphate - 30mg - Tablet,10x5,1556
746,1636,MultiVitamin  -  - Syrup,120ml,25786
747,63636,Mycophenolate Mofetil - 250mg - Capsule,10x10,30
748,3835,Mycophenolate Mofetil - 500mg - Tablet,10x10,300
749,594,Naloxone HCL - 0.02mg/ml in 2ml Ampoule - Injection,Each,780
750,57334,Naso Gastric Tube Sterile - 12CH,Each,2208
751,57336,Naso Gastric Tube Sterile - 16CH,Each,11121
752,57337,Naso Gastric Tube Sterile - 18CH,Each,13812
753,57298,Naso Gastric Tube Sterile - 4CH,Each,29672
754,57338,Naso Gastric Tube Sterile - 6CH,Each,22287
755,57339,Naso Gastric Tube Sterile - 8CH,Each,13286
756,59094,Naso Gastric Tube Sterile Adult - 20CH,Each,1404
757,650,Neostigmine - 0.5mg/ml in 1ml Ampoule - Injection,10   ,1133
758,651,Neostigmine - 2.5mg/ml in 1ml Ampoule - Injection,10x5,318
759,64484,Nephrostomy Tube - 10Fr,Each,48
760,64485,Nephrostomy Tube - 12Fr,Each,53
761,356,Nifedipine - 20mg - Tablet,10x10,46831
762,52193,Nilotinib - 200mg - Capsule,7x4,180
763,55716,Nitrofurazone - 0.002 - Ointment,30gm,38871
764,1720,Norethindrone (Norethisterone) - 5mg - Tablet,30,382
765,144,Norfloxacin - 400mg - Tablet,10x10,20941
766,1316,Olanzapine - 5mg - Tablet,10x10,6060
767,54352,Omeperazole - 20 mg - Capsule (Enclosing Enteric Coated Granules),10x10,121615
768,56129,Omeperazole - 4mg/ml in 10ml - Injection,Each,39392
769,54227,Ondansetrone - 4mg/2ml - Injection,Each,2500
770,1997,Ondansetrone - 8mg - Tablet,10x3,580
771,55496,Oral Rehydration Salt - 20.7g for 1 Littre Preparation - Powder,Sachet,279204
772,55947,Oropharyngeal Airway (Guedel) Sterile - 120mm,Each,882
773,54810,Oropharyngeal Airway (Guedel) Sterile - 60mm,Each,1380
774,55451,Oropharyngeal Airway (Guedel) Sterile - 90mm,Each,1592
775,54351,Oxaliplatine - 50mg/10ml - Powder for injection,Each,452
776,60045,Oxygen Face Mask for - Adult,Each,4760
777,60044,Oxygen Face Mask for - Pediatric ,Each,2142
778,63857,Oxytetracycline HCl + Hydrocortisone Acetate + Polymixin B Sulphate - 5mg+15mg+ 10.000 Units in each ml - Eye/Ear drop,5ml,9141
779,53176,Paclitaxel - 100mg/16.7ml - Injection,Each,1734
780,56250,Pantoprazole - 40mg - Tablet (enteric coated),10x10,11355
781,363,Paracetamol - 120mg/5ml - Syrup,60ml,225293
782,54,Paracetamol - 125mg - Suppository ,20x5,16589
783,3823,Paracetamol - 500 mg - Tablet,100x10,25728
784,60974,"Pasteur Pipette – 3ml, Non-sterile, Plastic - ",500,1103
785,56481,Pasteur pipette plastic - Non sterile 3ml,500,1103
786,54225,"Penicillin G, Benzanthin - 2.4  MIU - Injection",100,996
787,1190,"Penicillin G, Sodium Crystalline - 1 MIU - Injection",100,498
788,55341,Permethrine - 0.05 - Cream,30gm,12300
789,394,Pethidine HCL - 50mg/ml in 1ml Ampoule - Injection,10   ,5140
790,54847,Phenobarbitone (Phenobarbital) - 100mg - Tablet,1000,9658
791,54718,Phenobarbitone (Phenobarbital) - 30mg - Tablet,1000,4803
792,55592,Phenytoin (Diphenhydantoin) Sodium - 100mg - Tablet,10x10,14835
793,57508,Phenytoin (Diphenhydantoin) Sodium - 250mg in Vial - Powder for injection,Each,304
794,54593,Phenytoin (Diphenhydantoin) Sodium - 50mg - Tablet,200,8105
795,255,Pilocarpine HCL - 4% - Eye Drop,15ml,2311
796,2624,Plaster Of Paris (P.O.P)  - 10cm x 3m,Dozen,3973
797,2626,Plaster Of Paris (P.O.P)  - 15 cm x 3m,Dozen,3187
798,59088,Polyamide Monofilament - Gauge 0.2 (10/0) 38cm on 6mm 3/8 Circle Spatula Single Armed Rounded Needle,Dozen,79
799,60042,Polyamide Monofilament - Gauge 0.3(9/0) 30cm on 6.5mm 3/8 Circle Spatula Single Armed Needle,Dozen,89
800,59040,Polyglycolic acid absorbable braided violet - Gauge 0.4(8/0) 45cm on 8mm 1/2 Circle Reverse Cutting Needle,Dozen,115
801,59036,Polyglycolic acid absorbable braided violet - Gauge 0.4(8/0) 45cm on 8mm 1/2 Circle Round Bodied Needle,Dozen,187
802,55195,Polyglycolic acid absorbable braided violet - Gauge 0.7(6/0) 30cm on 12mm  1/2 Circle cutting Tapper Needle,Dozen,124
803,59198,Polyglycolic acid absorbable braided violet - Gauge 0.7(6/0) 30cm on 12mm 1/2 Circle Round Bodied Needle,Dozen,74
804,55078,Polyglycolic acid absorbable braided violet - Gauge 1.0(5/0)75cm 0n 45mm 1/2 circle cutting  taper needle,Dozen,129
805,54700,Polyglycolic acid absorbable braided violet - Gauge 2.0(3/0) 75cm on 26mm 1/2 Circle Reverse Cutting Needle,Dozen,1794
806,55202,Polyglycolic acid absorbable braided violet - Gauge 2.0(3/0)75cm on 26mm 1/2 circle rounded bodied  needle,Dozen,1436
807,64488,Polyglycolic acid absorbable braided violet - Gauge 3.0(2/0) 75 cm on 27 mm 1/2 Circle Cutting Needle,Dozen,2481
808,54945,Polyglycolic acid absorbable braided violet - Gauge 3.0(2/0) 75cm on 35mm 1/2 Circle Round Bodied Needle,Dozen,3117
809,59042,Polyglycolic acid absorbable braided violet - Gauge 3.5(0) 75cm on 48mm 1/2 Circle Round Bodied Needle,Dozen,1120
810,59044,Polyglycolic acid absorbable braided violet - Gauge 4.0(1) 75 cm on 45 mm ½  Circle Round Bodied Needle,Dozen,1962
811,55084,Polyglycolic acid absorbable braided violet - Gauge 4.0(1) 75cm on 45mm 1/2 Circle Cutting Taper Heavy Needle,Dozen,1207
812,59082,Polyglycolic acid absorbable braided violet - Gauge 5.0(2) 75cm on 40mm ½  Circle Round Bodied Needle,Dozen,2840
813,55579,Polyglycolic acid absorbable braided violet - Gauge 5.0(2) 75cm on 40mm 1/2 circle cutting tapper needle,Dozen,925
814,5317,Potassium Chloride - 150mg/ml in 5ml ampoule - Injection,10   ,3042
815,234,Potassium Chloride - 600mg - Tablet,10x10,1865
816,509,Povidone Iodine - 10% - Solution,130ml,1705
817,195,Praziquantel - 600mg - Tablet,10x10,1393
818,208,Prednisolone - 5mg - Tablet,100x10,7760
819,251,Promethazine HCL - 25mg/ml in 2ml  - Injection,10x5,153
820,5399,Propofol - 10mg/ml in 20ml  - Injection,5,3769
821,904,Propranolol - 1mg/ml in 1ml Ampoule - Injection,10   ,181
822,825,Propranolol - 40mg - Tablet,10x10,6889
823,1573,Propylthiouracil - 100mg - Tablet,100,18824
824,211,Propylthiouracil - 50mg - Tablet,100,9646
825,57047,"Pump-Breast, Manual - 30ml",Each,0
826,5704,Quadriceps Bench - Quadriceps bench+accessories,Each,376
827,67418,Rabies vaccine inactivated ( freeze dried) - 2.5IU/ml - 1ml 1 dose vial with diluent ampule injection,Each,4755
828,60047,Rectal Tube Rubber With Terminal Size - 18CH,Each,587
829,54934,Rectal Tube Rubber With Terminal Size - 28CH,Each,1548
830,55953,Rectal Tube Rubber With Terminal Size - 30CH,Each,912
831,54626,Ringer's Solution - Each contains Na+ 147mEq + K+ 4mEq Cl-155mEq - Intravenous Infusion with Giving Set,1000ml,198384
832,1405,Risperidone - 2mg - Tablet,10x10,8319
833,1407,Risperidone - 4mg - Tablet,10x10,8015
834,53177,Rituximab - 500mg/50ml - Injection,Each,156
835,54873,Salbutamol (Albuterol) - 0.1mg/dose - Aerosol (Oral Inhalation),200metered doses,85666
836,49,Salbutamol (Albuterol) - 2mg/5ml - Syrup,100ml,12513
837,436,Salbutamol (Albuterol) - 4mg - Tablet,10x10,5204
838,60972,"Sealer - Capillary Tube, 2mm Thickness - ",2x5mm,2034
839,55550,Serology -  Anti Nucliec Antibody (ANA) - ,50tests,63
840,54797,Serology -  Pregnancy Test Strip - ,50tests,13590
841,54798,"Serology - Alfa Feto Protein (AFP), Cassette - ",40tests,20
842,56061,"Serology - Anti-A, Anti-B, Anti-D Monoclonal Antibody - ",3x10ml,5344
843,57433,Serology - Anti-Human Globulin (Coombs') Test - ,10ml,131
844,56062,Serology - Anti-streptolysin O Antibody (ASO) - ,50tests,430
845,54675,Serology - C-Reactive Protein (CRP) Test Cassette - ,50tests,285
846,54676,"Serology - Cryptococcal Reagent, Latex Agglutination Test - ",50tests,132
847,54678,Serology - Helicobacter Pylori (H.Pylori) Antibody Test Strip - ,50tests,2712
848,55287,Serology - Hepatitis BsAg Test Cassette - ,30tests,4935
849,56755,Serology - Hepetitis C Ab   Test Casett - ,40tests,4875
850,60963,Serology - Prostate Specific Antigen Test Cassette - ,25tests,44
851,57071,"Serology - Proteus OX-19 Antigen, 5ml - ",5ml,5490
852,56406,Serology - Rapid Plasma Reagin-RPR Test Cassette - ,100 tests,4965
853,54407,Serology - Rheumatoid Factor (RF) Slide Test - ,50tests,1417
854,63992,Serology - Salmonella Typhi ''H'' + Salmonella Typhi ''O'' Antigen Test Cassette - ,25,9707
855,54408,Serology - Treponema Pallidium Haema Agglutination (TPHA) Test - ,50tests,59
856,60962,Serology - Troponin Test Cassette - ,20tests,100
857,1314,Sertaline HCL - 50mg - Tablet,10x10,1223
858,55095,Snake Venom Antiserum Polyvalent -  - Injection,10ml,1849
859,54977,"Soda Lime, Carbon Dioxide Adsorbent -  - Aerosol",4.5kg,498
860,52189,Sodium Bicarbonate - 8.4%w/v in 25ml ampoule - Injection,Each,572
861,54883,Sodium Chloride (Normal Saline) - 0.009 - Intravenous Infusion with Giving Set,1000ml,762390
862,56150,Sodium Cromoglycate - 0.02 - Eye drop (Solution),10ml,1670
863,63862,Sodium Hypochlorite 0.05% - Environmental Disinfectant - ,1000ml,1967
864,1442,Sodium Valproate - 200mg - Tablet,10x10,14269
865,1444,Sodium Valproate - 200mg/5ml - Syrup,300ml,1079
866,1443,Sodium Valproate - 500mg - Tablet,100,2888
867,59057,Spinal Needle  8cm - 22G,Each,8813
868,59058,Spinal Needle  8cm - 23G,Each,7576
869,59059,Spinal Needle  8cm - 24G,Each,7596
870,64489,Spinal Needle  8cm - 25G with Guider needle(Trochay),Each,1614
871,43,Spironolactone - 25mg - Tablet,10x10,12462
872,4263,Stool Specimen Container - Disposable of Polypropylene with Cover,500,3718
873,54214,Sulphamethoxazole + Trimethoprim - (200mg + 40mg)/5ml - Suspension,100ml,205001
874,54457,Sulphamethoxazole + Trimethoprim - (400mg + 80mg) - Tablet,100x10,3065
875,734,Sulphur - 10% - Ointment,50gm,2564
876,1415,Sumatriptan - 50mg - Tablet,10   ,507
877,55582,Surgical Scalpel Blade  - No.10,100,508
878,57342,Surgical Scalpel Blade  - No.15,100,1076
879,54840,Surgical Scalpel Blade  - No.22,100,2620
880,55465,Surgical Scalpel Blade  - No.24,100,6682
881,54870,Suxamethonium Chloride (Succinylcholine) - 50mg/ml in 10ml Vial - Powder for injection,25,498
882,55059,Syringe (Disposable) - 10ml with needle 21G,100,45000
883,54564,Syringe (Disposable) - 20ml with Needle 21G,50,3069
884,54431,Syringe (Disposable) - 3ml with Needle 21G,100,22000
885,55192,Syringe (Disposable) - 50ml with Needle 21G,25,1066
886,54811,Syringe (Disposable) - 5ml with needle 21G ,100,62844
887,60054,Syringe Dental of metal - 2.5ml,100,33
888,66227,Syringe Insulin (Disposable) - 1ml on 4mm with Fixed Needle 32G,100,3695
889,55448,Syringe Insulin (Disposable) - 1ml on 6mm with Fixed Needle 30G,100,15800
890,59564,Sysmex XN-550 - Calibrator - ,3x3ml,13
891,59489,Sysmex XN-550 - Cell Clean - ,50ml,46
892,59486,Sysmex XN-550 - Cell Pack - ,10L,453
893,59491,Sysmex XN-550 - Check Level 1 - ,3ml,333
894,59492,Sysmex XN-550 - Check Level 2 - ,3ml,333
895,59493,Sysmex XN-550 - Check Level 3 - ,3ml,333
896,59490,Sysmex XN-550 - Fluoro cell WDF - ,Each,119
897,59488,Sysmex XN-550 - Lyser cell WDF - ,2 Liter,140
898,59487,Sysmex XN-550 - Sulfolyser - ,500ml,77
899,3836,Tacrolimus - 0.5mg - Capsule,100,240
900,3837,Tacrolimus - 1mg - Capsule,10x10,400
901,5686,Tamoxifen Citrate - 20mg - Tablet,10x3,2925
902,64501,Tamsulosin - 0.4mg - Tablet,10x10,403
903,331,Tenofovir Disproxil Fumerate - 300mg - Tablet,30,2088
904,55991,"Tetanus Antitoxin (TAT), Equine - 1,500 IU/ml in 1ml Ampoule - Injection",20,9522
905,54745,Tetracycline - 0.03 - Skin Ointment ,15gm,32313
906,262,Tetracycline - 1% - Eye Ointment,4gm,219112
907,53747,Thalidomide - 50mg - Capsule,100,116
908,97,Thiopental Sodium - 0.5 g - Powder for injection,50,242
909,72,Thioridazine HCL - 100mg - Tablet,100x10,515
910,472,Thioridazine HCL - 25mg - Tablet,100x10,132
911,50685,Thymoglobuline - 25mg/5ml - Injection,Each,15
912,212,Thyroxine Sodium - 0.05mg - Tablet,100,1647
913,213,Thyroxine Sodium - 0.1mg - Tablet,100,2477
914,57524,Timolol Maleate - 0.50% - Eye Drop,5ml,9532
915,185,Tinidazole - 500 mg - Tablet,60x4,8902
916,56639,Tissue Paper for Lense Cleaning - ,Pack/100,822
917,2501,Tongue Depressor - wooden,50,4733
918,55934,Tourniquet of Double Belt - ,Each,1430
919,64492,Tracheostomy Tube - 6.5 mm with 90 curvature armoured with low Pressure Cuff Universal inflation funnel and pilot balloon,Each,90
920,64493,Tracheostomy Tube - 7.5 mm with 90 curvature armoured with low Pressure Cuff Universal inflation funnel and pilot balloon metallic,Each,203
921,64494,Tracheostomy Tube - 8 mm with 90 curvature armoured with low Pressure Cuff Universal inflation funnel and pilot balloon metallic,Each,172
922,65790,Tracheostomy Tube - Plastic With 90 Degree Curvature Size 6,Each,155
923,59034,Tracheostomy Tube - with 90 degree curvature size 3.0,Each,193
924,59037,Tracheostomy Tube - with 90 degree curvature size 4.5,Each,183
925,59217,Tracheostomy Tube Metallic - with 90 degree curvature size 7.0,Each,167
926,54853,Tramadol HCl - 50mg - Capsule,10x10,32775
927,55603,Tramadol HCl - 50mg/ml in 2ml Ampoule - Injection,10   ,69897
928,52924,Tranexamic Acid - 500 mg - Tablet,10x10,44
929,209,Triamcinolone Acetonide - 40mg/ml in Vial - Injection,Each,2420
930,1436,Trifluoperazine HCL - 1mg - Tablet,10x10,478
931,1437,Trifluoperazine HCL - 5mg - Tablet,10x10,651
932,56489,Ultrasound Paper - ,Roll,349
933,2644,Umblical - Clamp 5.3cm Sterile,Each,43959
934,56655,Umblical Cord Tie - 6mm x 24.5m,Each,13303
935,59563,UniCel DxH  Slide Maker Stainer - SMS Slides - ,1440,0
936,59561,UniCel DxH  Slide Maker Stainer - TruColor Wright Stain - ,4x2L,2
937,59562,UniCel DxH  Slide Maker Stainer - TruColor Wright Stain Buffer - ,4x2L,2
938,59536,UniCel DxH 800 - Body Fluid Control - ,12x3.3ml,9
939,59539,UniCel DxH 800 - Calibrator Kit - ,3.3ml,5
940,59535,UniCel DxH 800 - Cell Control - ,12x3.3ml,15
941,59527,UniCel DxH 800 - Cell Lyse - ,5L,64
942,59532,UniCel DxH 800 - Cleaner - ,5L,79
943,59529,UniCel DxH 800 - Diff Pack - ,3L,70
944,59522,UniCel DxH 800 - Diluent - ,10L,758
945,59537,UniCel DxH 800 - LATRON CP-X Control - ,3.3ml,11
946,59531,UniCel DxH 800 - Retic Pack - ,5L,23
947,59538,UniCel DxH 800 - Retic-X Cell Control - ,12x3.3ml,10
948,59894,Unicel DxI 800 - Alfa Feto Protein (AFP) - ,2x50tests,2
949,59899,Unicel DxI 800 - Beta Human Chorionic Gonadotropin (BHCG) - ,2x50tests,3
950,59967,Unicel DxI 800 - Breast Monitor Cancer Antigen 15-3 (CA-15-3) - ,2x50tests,1
951,59968,Unicel DxI 800 - Breast Monitor Cancer Antigen 15-3 Control - ,6x1.5ml,0
952,59897,Unicel DxI 800 - Cancer Antigen 125 (CA-125) - ,2x50tests,3
953,59838,Unicel DxI 800 - Cancer Antigen 125 (CA-125) Calibrator - ,6x4ml,1
954,59893,Unicel DxI 800 - Carcino Embryonic Antigen (CEA) - ,2x50tests,4
955,59835,Unicel DxI 800 - Carcino Embryonic Antigen (CEA) Calibrator - ,6x4ml,1
956,59824,"Unicel DxI 800 - Cardiac Marker Control (Level 1,2,3) - ",6x3ml,8
957,59906,Unicel DxI 800 - Cortisol - ,2x50tests,1
958,59857,Unicel DxI 800 - Cortisol Calibrator - ,6x4ml,1
959,59839,Unicel DxI 800 - Creatinine Kinase CK-MB Mass Calibrator - ,6x4ml,1
960,59903,Unicel DxI 800 - Estradiol (E2) - ,2x50tests,28
961,59845,Unicel DxI 800 - Estradiol Calibrator - ,6x4ml,1
962,59892,Unicel DxI 800 - Ferritin - ,2x50tests,15
963,59834,Unicel DxI 800 - Ferritin Calibrator - ,6x4ml,1
964,59833,Unicel DxI 800 - Folate Calibrator - ,6x4ml,1
965,59901,Unicel DxI 800 - Follicle Stimulating Hormone (FSH) - ,2x50tests,1
966,59843,Unicel DxI 800 - Follicle Stimulating Hormone (FSH) Calibrator - ,6x4ml,1
967,59841,Unicel DxI 800 - Human Chorionic Gonadotropin (HCG) Calibrator - ,6x4ml,1
968,59822,"Unicel DxI 800 - Immunoassay Plus Control (Level 1,2,3) - ",12x5ml,0
969,59900,Unicel DxI 800 - Luteinizing Hormone (LH) - ,2x50tests,1
970,59842,Unicel DxI 800 - Luteinizing Hormone (LH) Calibrator - ,6x4ml,1
971,59904,Unicel DxI 800 - Progesterone - ,2x50tests,1
972,59854,Unicel DxI 800 - Progesterone Calibrator - ,6x4ml,1
973,59902,Unicel DxI 800 - Prolactin (PRL) - ,2x50tests,2
974,59844,Unicel DxI 800 - Prolactin Calibrator - ,6x4ml,1
975,59837,"Unicel DxI 800 - Prostate Specific Antigen, Free (PSA-F) Calibrator - ",5ml,1
976,59836,"Unicel DxI 800 - Prostate Specific Antigen, Total (PSA-T) Calibrator - ",6x4ml,1
977,59896,Unicel DxI 800 - Prostate Specific Antigen-Free (PSA-F) - ,2x50tests,8
978,59895,Unicel DxI 800 - Prostate Specific Antigen-Total (PSA-T) - ,2x50tests,10
979,59891,Unicel DxI 800 - Serum and RBC Folate - ,2x50tests,2
980,63318,Unicel DxI 800 - Technopath Multi Level - ,6ml,0
981,59905,Unicel DxI 800 - Testosterone Total - ,2x50tests,2
982,59907,Unicel DxI 800 - Thyroid Stimulating Hormone (TSH) - ,2x50tests,9
983,59853,Unicel DxI 800 - Thyroid Stimulating Hormone (TSH) Calibrator - ,6x4ml,1
984,59909,Unicel DxI 800 - Thyroxine (T4) - ,2x50tests,6
985,59859,Unicel DxI 800 - Thyroxine (T4) Calibrator - ,6x4ml,1
986,59910,Unicel DxI 800 - Thyroxine-Free (FT4) - ,2x50tests,8
987,59861,Unicel DxI 800 - Thyroxine-Free (FT4) Calibrator - ,6x4ml,1
988,59856,Unicel DxI 800 - Total Testosterone Calibrator - ,6x4ml,2
989,59911,Unicel DxI 800 - Triiodothyronine (T3) - ,2x50tests,6
990,59858,Unicel DxI 800 - Triiodothyronine (T3) Calibrator - ,6x4ml,1
991,59908,Unicel DxI 800 - Triiodothyronine-Free (FT3) - ,2x50tests,7
992,59860,Unicel DxI 800 - Triiodothyronine-Free (FT3) Calibrator - ,6x4ml,1
993,59840,Unicel DxI 800 - Troponin Calibrator - ,6x4ml,1
994,59898,Unicel DxI 800 - Troponin I - ,2x50tests,5
995,59823,"Unicel DxI 800 - Tumor Marker Control (Level 1,2,3) - ",6x2ml,0
996,59890,Unicel DxI 800 - Vitamin B12 - ,2x50tests,3
997,59826,Unicel DxI 800 - Vitamin B12 Calibrator - ,6x4ml,1
998,55440,Urine Collecting Bag PVC Latex Product - 1000ml,Each,106707
999,63441,"Urine Cup - Plastic, 40ml - ",500,478
1000,55553,"Urine Dipstick 10 Parameters (Blood, Billirubin, Urobiligen, Ketone, Protein, Nitrite, Glucose, PH, Specific Gravity, Leucocytes) - ",100tests,7232
1001,56531,Vacutainer Blood Collection Tube - with citrated anticoagulant blue top 4ml Plastic,100,1551
1002,56530,Vacutainer Blood Collection Tube - with EDTA anticoagulant purple top 4ml Plastic,100,7600
1003,56172,Vacutainer Blood Collection Tube - with vacuum red top 10ml,100,2992
1004,57056,"Vacutainer Needle - Multiple Blood Sampling, 21G - ",100,3701
1005,56175,Vacutainer serum separator tube - with yellow top 5ml,100,2744
1006,56974,Vacutatiner Needle Holder - ,500,626
1007,54851,Valganciclovir HCl - 450mg - Tablet,10   ,170
1008,57498,Vancomycine - 1gm in Vial - Injection,Each,61175
1009,54344,Vecuronium Bromide - 10 mg in vial - Powder for injection,Each,14553
1010,55499,Vinblastine Sulphate - 1mg/ml in 10ml Vial - Powder for injection,Each,170
1011,5404,Vincristine Sulphate - 2mg - Powder for injection,Each,1240
1012,464,Vitamin B Complex Preparations -  - Injection,10x10,4794
1013,54726,Vitamin B1 + Vitamin B6 + Vitamin B12 - (100mg + 100mg +1000mcg) - Injection,3,7028
1014,55595,Vitamin B1 + Vitamin B6 + Vitamin B12 - (100mg + 200mg + 1000mcg) - Tablet,10x10,7461
1015,228,Warfarin Sodium - 5mg - Tablet,100,2838
1016,57460,Wash Bottle Plastic - 500ml,Pcs,447
1017,433,Water For Injection - 10ml - Injection,20x5,2838
1018,57027,White Blood Cell (WBC) Thoma Pipette - ,Pcs,473
1019,54215,White Petrolatum -  - Ointment,50gm,8200
1020,57213,X-Ray Film Developr to Make 10 Liters - ,10sachets,436
1021,57216,X-Ray Film Fixer to Make 10 Liters - ,10sachets,436
1022,57214,"X-Ray Film, 13cm X 18cm - ",100,121
1023,57215,"X-Ray Film, 15cm X 40cm - ",100,293
1024,57206,"X-Ray Film, 18cm X 24cm - ",100,105
1025,57592,"X-Ray Film, 20cm X 40cm - ",100,505
1026,57207,"X-Ray Film, 24cm X 30cm - ",100,402
1027,57208,"X-Ray Film, 30cm X 40cm - ",100,110
1028,57209,"X-Ray Film, 35cm X 35cm - ",100,411
1029,57218,"X-Ray Film, 35cm X 43cm - ",100,715
1030,512,Xylometazoline HCL  - 0.1% - Solution Nasal Drops,10 ml,6594
1031,55608,Zoledronic acid  - 4mg/5ml in 5ml Ampoule - Injection,Each,126